2024-06-30 11:03:46 Erreur: SQLSTATE[HY000] [1045] Access denied for user ''@'localhost' (using password: NO)
2024-06-30 11:17:32 Erreur: SQLSTATE[HY000] [1045] Access denied for user ''@'localhost' (using password: NO)
2024-06-30 11:17:38 Erreur: SQLSTATE[HY000] [1045] Access denied for user ''@'localhost' (using password: NO)
2024-06-30 11:18:24 Erreur: SQLSTATE[HY000] [1045] Access denied for user ''@'localhost' (using password: NO)
2024-06-30 11:23:04 Erreur: SQLSTATE[HY000] [1045] Access denied for user ''@'localhost' (using password: NO)
2024-06-30 11:23:18 Erreur: SQLSTATE[HY000] [1045] Access denied for user ''@'localhost' (using password: NO)
2024-06-30 11:24:57 Erreur: SQLSTATE[HY000] [1045] Access denied for user ''@'localhost' (using password: NO)
2024-06-30 11:26:25 Erreur: SQLSTATE[HY000] [1045] Access denied for user ''@'localhost' (using password: NO)
2024-06-30 11:27:23 Erreur: SQLSTATE[HY000] [1045] Access denied for user ''@'localhost' (using password: NO)
2024-06-30 11:28:37 Erreur: SQLSTATE[HY000] [1045] Access denied for user ''@'localhost' (using password: NO)
2024-06-30 11:28:39 Erreur: SQLSTATE[HY000] [1045] Access denied for user ''@'localhost' (using password: NO)
2024-06-30 11:30:23 Erreur: SQLSTATE[HY000] [1045] Access denied for user ''@'localhost' (using password: NO)
2024-06-30 11:32:07 Erreur: SQLSTATE[HY000] [1045] Access denied for user ''@'localhost' (using password: NO)
2024-06-30 11:32:09 Erreur: SQLSTATE[HY000] [1045] Access denied for user ''@'localhost' (using password: NO)
2024-06-30 11:32:41 Erreur: SQLSTATE[HY000] [1045] Access denied for user ''@'localhost' (using password: NO)
2024-06-30 11:33:54 Erreur: SQLSTATE[HY000] [1045] Access denied for user ''@'localhost' (using password: NO)
2024-06-30 11:35:11 Erreur: SQLSTATE[HY000] [1045] Access denied for user ''@'localhost' (using password: NO)
2024-06-30 11:35:58 Erreur: SQLSTATE[HY000] [1045] Access denied for user ''@'localhost' (using password: NO)
2024-06-30 11:36:03 Erreur: SQLSTATE[HY000] [1045] Access denied for user ''@'localhost' (using password: NO)
2024-06-30 11:36:18 Erreur: SQLSTATE[HY000] [1045] Access denied for user ''@'localhost' (using password: NO)
2024-07-04 16:59:07 Erreur: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'users.role' in 'field list'
2024-07-04 16:59:56 Erreur: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'users.role' in 'field list'
2024-07-04 17:01:07 Erreur: SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2024-07-06 19:23:20 Erreur: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'role_id' in 'field list'
2024-07-06 19:23:22 Erreur: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'role_id' in 'field list'
2024-07-06 19:23:27 Erreur: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'role_id' in 'field list'
2024-07-06 19:23:51 Erreur: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'role_id' in 'field list'
2024-07-06 19:23:52 Erreur: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'role_id' in 'field list'
2024-07-14 18:27:13 Erreur: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'argon71hotmailfr_permut.status' doesn't exist
2024-07-14 18:27:15 Erreur: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'argon71hotmailfr_permut.status' doesn't exist
2024-07-16 13:05:53 Erreur: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'u1.blockedLimit' in 'field list'
2024-07-16 13:16:20 Erreur: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'u1.blockedLimit' in 'field list'
2024-07-16 13:16:24 Erreur: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'u1.blockedLimit' in 'field list'
2024-07-16 13:17:02 Erreur: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'u1.blockedLimit' in 'field list'
2024-07-16 13:17:33 Erreur: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'u1.blockedLimit' in 'field list'
2024-07-16 13:18:35 Erreur: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'u1.blockedLimit' in 'field list'
2024-07-16 13:20:14 Erreur: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'u1.blockedLimit' in 'field list'
2024-07-16 13:20:16 Erreur: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'u1.blockedLimit' in 'field list'
